STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/4/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",33,",,0",18,",,0",22,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/5/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",33,",,0",21,",,0",27,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/6/75,,,,,,,0.12,",,0,0700",1.2,",,0,",1,",,0,",32,",,0",20,",,0",23,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/7/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",32,",,0",6,",,0",8,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/8/75,,,,,,,0.01,",,0,0700",0.1,",,0,",1,",,0,",21,",,0",7,",,0",14,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/9/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",14,",,0",-2,",,0",-1,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/10/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",11,",,0",-2,",,0",3,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/11/75,,,,,,,0.03,",,0,0700",0.3,",,0,",2,",,0,",16,",,0",2,",,0",15,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/12/75,,,,,,,0,",,0,0700",0,",,0,",2,",,0,",30,",,0",8,",,0",11,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/13/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",29,",,0",10,",,0",11,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/14/75,,,,,,,0,",,0,0700",0,",,0,",1,",,0,",23,",,0",10,",,0",16,",,0,0700",,,,,,,,,,,,,,
